Benchmark,Size_Arg,Mean_Base,Std_Base,Var_Base,Count_Base,Size_GB_Base,Type_Base,Mean_E1,Std_E1,Var_E1,Count_E1,Size_GB_E1,Type_E1,Mean_E2,Std_E2,Var_E2,Count_E2,Size_GB_E2,Type_E2,Speedup_E1_Pct,Speedup_E2_Pct
SGEMM,8192,152.34959999999998,1.1735485346867012,1.3772161632653033,50,0.27,Baseline,152.7204,1.202390408260792,1.4457426938775537,50,0.27,SpecAsync_Exp1,153.9412,1.1473032088603425,1.3163046530612388,50,0.27,SpecAsync_Exp2,-0.24338757699398084,-1.0447024475285893
SGEMM,16384,1025.2188,2.300269407469168,5.291239346938557,50,1.07,Baseline,1033.2236,2.57419673224998,6.626488816326476,50,1.07,SpecAsync_Exp1,1030.8354000000002,1.858673226596146,3.4546661632653284,50,1.07,SpecAsync_Exp2,-0.7807894275836391,-0.547844030952227
SGEMM,24000,3076.5284,3.199225263358991,10.235042285714403,50,2.3,Baseline,3080.1292,2.233898249194869,4.990301387755901,50,2.3,SpecAsync_Exp1,3078.9436,3.142488134180983,9.875231673468274,50,2.3,SpecAsync_Exp2,-0.1170410128507049,-0.0785040697170114
STREAM,134217728,88.0412,1.3230802650463427,1.7505413877551004,50,0.54,Baseline,88.70379999999999,1.1419244229611252,1.3039913877550986,50,0.54,SpecAsync_Exp1,89.4674,1.5913988327562467,2.5325502448979442,50,0.54,SpecAsync_Exp2,-0.7526021907924729,-1.6199233994993234
STREAM,268435456,173.979,1.5835651459376656,2.50767857142858,50,1.07,Baseline,176.29919999999998,2.006465915331671,4.02590546938776,50,1.07,SpecAsync_Exp1,175.31759999999997,1.9103996376439698,3.6496267755102108,50,1.07,SpecAsync_Exp2,-1.3336092287000056,-0.7694032038349174
STREAM,536870912,345.42199999999997,3.3652473602869635,11.324889795918377,50,2.15,Baseline,349.4812,3.720897763076193,13.845080163265417,50,2.15,SpecAsync_Exp1,347.2404,1.6886765256150338,2.8516284081632617,50,2.15,SpecAsync_Exp2,-1.1751422897209984,-0.5264285424784854
Stencil,8192,28.682199999999998,0.6221499589556934,0.387070571428571,50,0.27,Baseline,28.976599999999998,0.4984900056312923,0.24849228571428586,50,0.27,SpecAsync_Exp1,29.1096,0.5779483770464386,0.33402432653061237,50,0.27,SpecAsync_Exp2,-1.0264205674599625,-1.4901227939279504
Stencil,16384,90.75959999999999,0.8610908127225033,0.7414773877551013,50,1.07,Baseline,91.0078,0.7607522861065316,0.578744040816314,50,1.07,SpecAsync_Exp1,92.3522,0.8421481037035156,0.7092134285714271,50,1.07,SpecAsync_Exp2,-0.273469693564099,-1.7547455035059611
Stencil,24000,213.22259999999997,1.732076505356557,3.0000890204081827,50,2.3,Baseline,212.93619999999999,1.0144142574482489,1.029036285714282,50,2.3,SpecAsync_Exp1,214.7514,1.950747643173483,3.805416367346898,50,2.3,SpecAsync_Exp2,0.13431972032982298,-0.7169971663416597
cuFFT,67108864,23.351599999999998,0.6301291088955907,0.39706269387755116,50,0.27,Baseline,22.3348,0.4704892807124363,0.22136016326530567,50,0.27,SpecAsync_Exp1,23.378200000000003,0.882625235375949,0.7790273061224493,50,0.27,SpecAsync_Exp2,4.3543054865619375,-0.11391082409772935
cuFFT,134217728,44.026,1.1594016753903542,1.3442122448979605,50,0.54,Baseline,42.1258,0.5920806963754237,0.35055955102040665,50,0.54,SpecAsync_Exp1,43.4414,1.347741890749722,1.8164082040816356,50,0.54,SpecAsync_Exp2,4.316085949211845,1.3278517239812881
cuFFT,268435456,86.37719999999999,1.8766807867909239,3.5219307755102007,50,1.07,Baseline,85.7982,2.009246675767221,4.037072204081628,50,1.07,SpecAsync_Exp1,85.29379999999999,1.8692548881130926,3.49411383673469,50,1.07,SpecAsync_Exp2,0.6703157777746882,1.2542661720917114
