policy,depth,benchmark,size,mean_ms,std_ms,n,median_ms
0,0,GraphBFS,22,269.4625,2.0611,20,269.0550
0,0,GraphBFS,23,523.9135,2.7529,20,523.7700
0,0,GraphBFS,24,1034.3380,3.7023,20,1033.5550
0,0,SGEMM,16384,2241.5835,11.2206,20,2243.7200
0,0,SGEMM,24000,6866.5180,18.6040,20,6861.9850
0,0,SGEMM,8192,366.1620,4.5270,20,366.1350
0,0,STREAM,134217728,380.8350,2.4941,20,380.1650
0,0,STREAM,268435456,738.4880,10.2793,20,734.6750
0,0,STREAM,536870912,1307.8050,6.1043,20,1307.6200
0,0,Stencil,16384,687.0600,6.1415,20,687.7600
0,0,Stencil,24000,1514.2410,9.0077,20,1510.8450
0,0,Stencil,8192,192.1470,3.7752,20,190.2600
0,0,Stencil_OvSub,25000_20_11264,38819.5370,206.0158,20,38775.8150
0,0,Stencil_OvSub,28300_20_11264,49469.9430,197.8200,20,49360.8350
0,0,Stencil_OvSub,32000_20_11264,63688.0805,69.1172,20,63705.1950
0,0,cuFFT,134217728,229.4455,1.5984,20,229.0900
0,0,cuFFT,268435456,462.2015,3.9241,20,461.1750
0,0,cuFFT,67108864,116.8820,2.5108,20,116.3500
1,0,GraphBFS,22,273.0550,1.5694,20,273.6600
1,0,GraphBFS,23,528.8115,3.4799,20,528.6950
1,0,GraphBFS,24,1039.2285,6.1554,20,1037.9250
1,0,SGEMM,16384,2242.2600,19.1768,20,2247.0300
1,0,SGEMM,24000,6888.9290,11.9523,20,6888.0650
1,0,SGEMM,8192,368.6390,3.1846,20,369.1250
1,0,STREAM,134217728,347.0645,1.7399,20,347.0850
1,0,STREAM,268435456,674.8565,3.0659,20,675.1550
1,0,STREAM,536870912,1320.9070,4.1174,20,1320.9950
1,0,Stencil,16384,687.7440,3.7134,20,688.3300
1,0,Stencil,24000,1527.5495,5.3761,20,1526.7650
1,0,Stencil,8192,192.9965,1.8981,20,192.7300
1,0,Stencil_OvSub,25000_20_11264,39029.1330,104.2210,20,39058.3800
1,0,Stencil_OvSub,28300_20_11264,50067.8715,121.9743,20,50083.8200
1,0,Stencil_OvSub,32000_20_11264,64851.2205,117.6054,20,64834.4000
1,0,cuFFT,134217728,230.7025,2.3000,20,229.8300
1,0,cuFFT,268435456,460.7055,2.7634,20,460.2100
1,0,cuFFT,67108864,116.6370,2.8970,20,115.2950
2,0,GraphBFS,22,271.8565,2.2478,20,271.4600
2,0,GraphBFS,23,528.4045,2.3709,20,528.2650
2,0,GraphBFS,24,1038.0845,2.9403,20,1037.7900
2,0,SGEMM,16384,2256.4225,20.1025,20,2258.7600
2,0,SGEMM,24000,6879.8355,28.9494,20,6891.1950
2,0,SGEMM,8192,370.9400,2.3685,20,370.6100
2,0,STREAM,134217728,347.4475,2.4137,20,347.4950
2,0,STREAM,268435456,672.8035,3.6619,20,672.7850
2,0,STREAM,536870912,1325.3400,23.5765,20,1317.5050
2,0,Stencil,16384,689.6120,4.1116,20,689.7400
2,0,Stencil,24000,1536.6835,8.0440,20,1535.9700
2,0,Stencil,8192,191.7095,1.5458,20,191.6950
2,0,Stencil_OvSub,25000_20_11264,39076.6065,60.7174,20,39073.4550
2,0,Stencil_OvSub,28300_20_11264,50080.7120,84.2068,20,50080.5150
2,0,Stencil_OvSub,32000_20_11264,64782.8070,103.9207,20,64802.5800
2,0,cuFFT,134217728,230.7380,2.8730,20,229.2100
2,0,cuFFT,268435456,465.3590,6.9668,20,463.2500
2,0,cuFFT,67108864,118.1150,3.5664,20,115.5050
3,0,GraphBFS,22,273.5000,3.3945,20,272.6300
3,0,GraphBFS,23,528.3120,2.0017,20,528.1900
3,0,GraphBFS,24,1040.8035,2.9442,20,1040.8300
3,0,SGEMM,16384,2270.8515,16.4992,20,2269.8700
3,0,SGEMM,24000,6973.2305,17.7991,20,6976.3900
3,0,SGEMM,8192,371.1055,3.7905,20,371.4800
3,0,STREAM,134217728,347.0835,2.1108,20,347.0200
3,0,STREAM,268435456,673.2815,2.5992,20,673.3950
3,0,STREAM,536870912,1317.2890,4.7970,20,1317.1250
3,0,Stencil,16384,686.8375,6.0853,20,685.1550
3,0,Stencil,24000,1530.5435,7.9343,20,1531.0300
3,0,Stencil,8192,191.0725,1.1483,20,190.7300
3,0,Stencil_OvSub,25000_20_11264,39012.1520,56.2344,20,39011.4900
3,0,Stencil_OvSub,28300_20_11264,50122.5010,69.5825,20,50132.7800
3,0,Stencil_OvSub,32000_20_11264,64696.8595,122.5317,20,64701.5600
3,0,cuFFT,134217728,229.0980,2.0066,20,228.6600
3,0,cuFFT,268435456,461.1145,4.0321,20,458.9750
3,0,cuFFT,67108864,115.0170,0.3234,20,114.9450
4,0,GraphBFS,23,53057.9500,410.4594,20,53058.0000
4,0,SGEMM,24000,15880.4000,110.9416,20,15832.5000
4,0,STREAM,268435456,2328.2000,20.4157,20,2326.5000
4,0,Stencil,24000,4111.9500,25.4506,20,4117.5000
4,0,Stencil_OvSub,28300_20_11264,53714.9500,239.0236,20,53688.0000
4,0,cuFFT,268435456,1751.9000,4.9726,20,1752.0000
